x,y,h,w,reward,aspect-ratio,overlap,outrange,area_diff
200,150,64,63,-56256.0,-256.0,-56128,0,-128.0
200,150,65,63,-57264.0,-256.0,-56884,0,-380.0
200,150,66,63,-58096.0,-256.0,-57464,0,-632.0
200,150,67,63,-59104.0,-760.0,-58220,0,-884.0
200,150,68,63,-60112.0,-1264.0,-58976,0,-1136.0
200,150,69,63,-61120.0,-1264.0,-59732,0,-1388.0
200,150,70,63,-62128.0,-1264.0,-60488,0,-1640.0
200,150,71,63,-63136.0,-1768.0,-61244,0,-1892.0
200,150,72,63,-64144.0,-2272.0,-62000,0,-2144.0
200,150,73,63,-65152.0,-2272.0,-62756,0,-2396.0
200,150,72,63,-64144.0,-2272.0,-62000,0,-2144.0
200,149,72,63,-64144.0,-2272.0,-62000,0,-2144.0
200,149,71,63,-63136.0,-1768.0,-61244,0,-1892.0
200,148,71,63,-63136.0,-1768.0,-61244,0,-1892.0
200,148,70,63,-62128.0,-1264.0,-60488,0,-1640.0
200,147,70,63,-62128.0,-1264.0,-60488,0,-1640.0
200,147,69,63,-60844.0,-1264.0,-59456,0,-1388.0
200,146,69,63,-60568.0,-1264.0,-59180,0,-1388.0
200,146,68,63,-59296.0,-1264.0,-58160,0,-1136.0
200,145,68,63,-59024.0,-1264.0,-57888,0,-1136.0
200,145,67,63,-58032.0,-760.0,-57148,0,-884.0
200,145,67,64,-58836.0,-1792.0,-57684,0,-1152.0
200,145,68,64,-59840.0,-1792.0,-58432,0,-1408.0
200,145,69,64,-60844.0,-1792.0,-59180,0,-1664.0
200,145,70,64,-61848.0,-2304.0,-59928,0,-1920.0
200,145,71,64,-62852.0,-2816.0,-60676,0,-2176.0
200,145,72,64,-63568.0,-2816.0,-61136,0,-2432.0
200,145,73,64,-64276.0,-2816.0,-61588,0,-2688.0
200,145,74,64,-64864.0,-3328.0,-61920,0,-2944.0
200,145,75,64,-65448.0,-3840.0,-62248,0,-3200.0
200,145,76,64,-66028.0,-3840.0,-62572,0,-3456.0
200,145,77,64,-66604.0,-3840.0,-62892,0,-3712.0
200,145,78,64,-67176.0,-3840.0,-63208,0,-3968.0
199,145,78,64,-66874.0,-3840.0,-62906,0,-3968.0
199,145,79,64,-67440.0,-4352.0,-63216,0,-4224.0
199,145,80,64,-68002.0,-4864.0,-63522,0,-4480.0
199,145,81,64,-68560.0,-4864.0,-63824,0,-4736.0
199,145,82,64,-69114.0,-4864.0,-64122,0,-4992.0
199,145,83,64,-69408.0,-5376.0,-64160,0,-5248.0
200,145,83,64,-69096.0,-5376.0,-63848,0,-5248.0
200,145,84,64,-69424.0,-5888.0,-63920,0,-5504.0
200,145,85,64,-69752.0,-5888.0,-63992,0,-5760.0
200,145,86,64,-69952.0,-5888.0,-63936,0,-6016.0
200,145,87,64,-70464.0,-5888.0,-64192,0,-6272.0
200,145,88,64,-70408.0,-6400.0,-63880,0,-6528.0
200,146,88,64,-69712.0,-6400.0,-63184,0,-6528.0
200,146,89,64,-69528.0,-6912.0,-62744,0,-6784.0
200,146,90,64,-69344.0,-6912.0,-62304,0,-7040.0
200,146,91,64,-69160.0,-6912.0,-61864,0,-7296.0
200,146,92,64,-68976.0,-6912.0,-61424,0,-7552.0
200,146,93,64,-68792.0,-7424.0,-60984,0,-7808.0
200,146,94,64,-68480.0,-7936.0,-60416,0,-8064.0
200,146,95,64,-68168.0,-7936.0,-59848,0,-8320.0
200,146,96,64,-67856.0,-7936.0,-59280,0,-8576.0
200,146,97,64,-67800.0,-8448.0,-58968,0,-8832.0
200,146,97,63,-66448.0,-7312.0,-58004,0,-8444.0
200,146,98,63,-66136.0,-7312.0,-57440,0,-8696.0
200,146,98,63,-65824.0,-7312.0,-57128,0,-8696.0
200,146,99,63,-65512.0,-7816.0,-56564,0,-8948.0
200,146,100,63,-65200.0,-8320.0,-56000,0,-9200.0
200,146,101,63,-64888.0,-8320.0,-55436,0,-9452.0
200,146,102,63,-64576.0,-8320.0,-54872,0,-9704.0
199,146,102,63,-64012.0,-8320.0,-54308,0,-9704.0
199,146,103,63,-63700.0,-8320.0,-53744,0,-9956.0
199,146,104,63,-63388.0,-8824.0,-53180,0,-10208.0
199,146,105,63,-63076.0,-9328.0,-52616,0,-10460.0
199,146,106,63,-62764.0,-9328.0,-52052,0,-10712.0
199,146,107,63,-62764.0,-9328.0,-51800,0,-10964.0
199,146,108,63,-62452.0,-9328.0,-51236,0,-11216.0
199,146,109,63,-62140.0,-9832.0,-50672,0,-11468.0
199,146,110,63,-61828.0,-9832.0,-50108,0,-11720.0
199,146,111,63,-61688.0,-10336.0,-49716,0,-11972.0
199,146,112,63,-61376.0,-10336.0,-49152,0,-12224.0
199,146,113,63,-61064.0,-10336.0,-48588,0,-12476.0
199,146,113,63,-60752.0,-10336.0,-48276,0,-12476.0
199,146,114,63,-60440.0,-10336.0,-47712,0,-12728.0
199,146,115,63,-60128.0,-10840.0,-47148,0,-12980.0
199,146,116,63,-59816.0,-11344.0,-46584,0,-13232.0
199,146,117,63,-59504.0,-11344.0,-46020,0,-13484.0
199,146,118,63,-59192.0,-11344.0,-45456,0,-13736.0
199,146,119,63,-58880.0,-11344.0,-44892,0,-13988.0
199,146,120,63,-58568.0,-11848.0,-44328,0,-14240.0
199,146,121,63,-58256.0,-12352.0,-43764,0,-14492.0
199,146,122,63,-57944.0,-12352.0,-43200,0,-14744.0
199,146,123,63,-57632.0,-12352.0,-42636,0,-14996.0
199,145,123,63,-57068.0,-12352.0,-42072,0,-14996.0
199,145,124,63,-56756.0,-12352.0,-41508,0,-15248.0
200,150,64,63,-56256.0,-256.0,-56128,0,-128.0
200,150,65,63,-57264.0,-256.0,-56884,0,-380.0
200,150,66,63,-58272.0,-256.0,-57640,0,-632.0
200,150,66,62,-57216.0,-256.0,-56848,0,-368.0
200,150,67,62,-58208.0,-256.0,-57592,0,-616.0
200,150,68,62,-59200.0,-240.0,-58336,0,-864.0
200,150,69,62,-60192.0,-736.0,-59080,0,-1112.0
200,150,70,62,-61184.0,-736.0,-59824,0,-1360.0
200,150,71,62,-62176.0,-736.0,-60568,0,-1608.0
200,150,72,62,-63168.0,-1232.0,-61312,0,-1856.0
200,150,73,62,-64160.0,-1728.0,-62056,0,-2104.0
200,150,74,62,-65152.0,-1728.0,-62800,0,-2352.0
200,150,75,62,-66144.0,-1728.0,-63544,0,-2600.0
200,150,76,62,-67136.0,-1728.0,-64288,0,-2848.0
200,150,77,62,-68128.0,-2224.0,-65032,0,-3096.0
200,149,77,62,-68128.0,-2224.0,-65032,0,-3096.0
200,149,78,62,-68996.0,-2720.0,-65652,0,-3344.0
200,149,79,62,-69864.0,-2720.0,-66272,0,-3592.0
200,149,80,62,-70608.0,-2720.0,-66768,0,-3840.0
200,149,81,62,-71352.0,-3216.0,-67264,0,-4088.0
200,149,82,62,-71784.0,-3712.0,-67448,0,-4336.0
200,149,83,62,-72216.0,-3712.0,-67632,0,-4584.0
200,149,84,62,-72712.0,-3712.0,-67880,0,-4832.0
200,149,85,62,-72896.0,-3712.0,-67816,0,-5080.0
200,149,84,62,-71840.0,-3712.0,-67008,0,-4832.0
200,149,85,62,-72024.0,-3712.0,-66944,0,-5080.0
200,149,86,62,-72208.0,-4208.0,-66880,0,-5328.0
200,149,87,62,-72392.0,-4704.0,-66816,0,-5576.0
200,149,88,62,-72576.0,-4704.0,-66752,0,-5824.0
200,149,89,62,-72760.0,-4704.0,-66688,0,-6072.0
200,149,88,62,-71704.0,-4704.0,-65880,0,-5824.0
200,149,89,62,-71888.0,-4704.0,-65816,0,-6072.0
200,149,90,62,-72072.0,-4704.0,-65752,0,-6320.0
200,149,91,62,-72132.0,-5200.0,-65564,0,-6568.0
200,149,92,62,-72192.0,-5696.0,-65376,0,-6816.0
200,149,92,61,-70702.0,-4600.0,-64254,0,-6448.0
200,149,93,61,-70634.0,-5088.0,-63942,0,-6692.0
200,149,94,61,-70566.0,-5088.0,-63630,0,-6936.0
200,149,95,61,-70498.0,-5088.0,-63318,0,-7180.0
200,149,96,61,-70430.0,-5088.0,-63006,0,-7424.0
200,149,97,61,-70362.0,-5576.0,-62694,0,-7668.0
200,149,98,61,-70294.0,-6064.0,-62382,0,-7912.0
200,149,99,61,-70226.0,-6064.0,-62070,0,-8156.0
200,149,100,61,-70158.0,-6064.0,-61758,0,-8400.0
200,149,101,61,-70090.0,-6064.0,-61446,0,-8644.0
200,149,102,61,-70022.0,-6552.0,-61134,0,-8888.0
200,149,103,61,-70198.0,-7040.0,-61066,0,-9132.0
200,149,104,61,-70252.0,-7040.0,-60876,0,-9376.0
200,149,104,60,-68712.0,-5920.0,-59752,0,-8960.0
200,149,105,60,-68640.0,-6400.0,-59440,0,-9200.0
200,149,106,60,-68568.0,-6400.0,-59128,0,-9440.0
200,149,107,60,-68496.0,-6400.0,-58816,0,-9680.0
200,149,108,60,-68424.0,-6400.0,-58504,0,-9920.0
200,149,109,60,-68528.0,-6880.0,-58368,0,-10160.0
200,149,110,60,-68456.0,-6880.0,-58056,0,-10400.0
200,149,111,60,-68384.0,-7360.0,-57744,0,-10640.0
200,149,112,60,-68432.0,-7360.0,-57552,0,-10880.0
200,149,112,59,-66862.0,-6704.0,-56430,0,-10432.0
200,149,113,59,-66786.0,-6704.0,-56118,0,-10668.0
200,149,114,59,-66710.0,-6704.0,-55806,0,-10904.0
200,149,115,59,-66634.0,-6704.0,-55494,0,-11140.0
200,149,116,59,-66558.0,-6704.0,-55182,0,-11376.0
200,149,117,59,-66482.0,-7176.0,-54870,0,-11612.0
200,149,118,59,-66406.0,-7648.0,-54558,0,-11848.0
200,149,119,59,-66330.0,-7648.0,-54246,0,-12084.0
200,149,120,59,-66254.0,-7648.0,-53934,0,-12320.0
200,149,121,59,-66178.0,-7648.0,-53622,0,-12556.0
200,149,122,59,-66102.0,-8120.0,-53310,0,-12792.0
200,149,123,59,-66026.0,-8120.0,-52998,0,-13028.0
200,149,124,59,-65950.0,-8592.0,-52686,0,-13264.0
200,149,125,59,-66186.0,-8592.0,-52686,0,-13500.0
200,149,126,59,-66110.0,-8592.0,-52374,0,-13736.0
200,149,127,59,-66270.0,-8592.0,-52298,0,-13972.0
200,149,128,59,-66194.0,-9064.0,-51986,0,-14208.0
200,149,129,59,-66118.0,-9064.0,-51674,0,-14444.0
200,149,130,59,-66042.0,-9536.0,-51362,0,-14680.0
200,149,131,59,-65966.0,-9536.0,-51050,0,-14916.0
200,149,132,59,-65890.0,-9536.0,-50738,0,-15152.0
200,149,132,59,-65460.0,-9536.0,-50308,0,-15152.0
200,149,133,59,-65384.0,-9536.0,-49996,0,-15388.0
200,149,134,59,-65308.0,-10008.0,-49684,0,-15624.0
200,149,135,59,-65468.0,-10008.0,-49608,0,-15860.0
200,149,136,59,-65392.0,-10480.0,-49296,0,-16096.0
200,149,137,59,-65628.0,-10480.0,-49296,0,-16332.0
200,149,138,59,-65552.0,-10480.0,-48984,0,-16568.0
200,150,64,63,-56256.0,-256.0,-56128,0,-128.0
200,150,65,63,-57264.0,-256.0,-56884,0,-380.0
200,150,66,63,-58272.0,-256.0,-57640,0,-632.0
200,150,67,63,-59280.0,-760.0,-58396,0,-884.0
200,150,68,63,-60288.0,-1264.0,-59152,0,-1136.0
200,150,69,63,-61296.0,-1264.0,-59908,0,-1388.0
200,150,70,63,-62128.0,-1264.0,-60488,0,-1640.0
200,150,71,63,-63136.0,-1768.0,-61244,0,-1892.0
201,150,71,63,-63136.0,-1768.0,-61244,0,-1892.0
201,150,72,63,-64144.0,-2272.0,-62000,0,-2144.0
201,150,73,63,-65152.0,-2272.0,-62756,0,-2396.0
201,150,74,63,-66160.0,-2272.0,-63512,0,-2648.0
202,150,74,63,-66160.0,-2272.0,-63512,0,-2648.0
202,150,75,63,-67018.0,-2272.0,-64118,0,-2900.0
202,150,76,63,-67872.0,-2776.0,-64720,0,-3152.0
202,150,77,63,-68722.0,-3280.0,-65318,0,-3404.0
202,150,78,63,-69568.0,-3280.0,-65912,0,-3656.0
202,150,79,63,-70012.0,-3280.0,-66104,0,-3908.0
202,150,80,63,-71008.0,-3784.0,-66848,0,-4160.0
202,150,81,63,-71322.0,-4288.0,-66910,0,-4412.0
202,150,82,63,-71510.0,-4288.0,-66846,0,-4664.0
202,150,83,63,-71698.0,-4288.0,-66782,0,-4916.0
202,150,84,63,-71886.0,-4288.0,-66718,0,-5168.0
202,150,85,63,-72074.0,-4792.0,-66654,0,-5420.0
202,150,86,63,-72262.0,-5296.0,-66590,0,-5672.0
202,150,87,63,-72450.0,-5296.0,-66526,0,-5924.0
202,150,88,63,-72638.0,-5296.0,-66462,0,-6176.0
202,150,89,63,-72966.0,-5800.0,-66538,0,-6428.0
202,150,90,63,-73028.0,-6304.0,-66348,0,-6680.0
202,150,91,63,-73090.0,-6304.0,-66158,0,-6932.0
202,150,92,63,-73026.0,-6304.0,-65842,0,-7184.0
202,150,93,63,-73278.0,-6304.0,-65842,0,-7436.0
202,150,94,63,-73214.0,-6808.0,-65526,0,-7688.0
202,150,95,63,-73150.0,-7312.0,-65210,0,-7940.0
202,150,96,63,-73086.0,-7312.0,-64894,0,-8192.0
202,150,97,63,-73022.0,-7312.0,-64578,0,-8444.0
202,150,98,63,-72958.0,-7312.0,-64262,0,-8696.0
202,149,98,63,-72642.0,-7312.0,-63946,0,-8696.0
202,149,98,62,-71128.0,-6688.0,-62824,0,-8304.0
202,150,98,62,-70880.0,-6688.0,-62576,0,-8304.0
202,150,99,62,-71296.0,-6688.0,-62744,0,-8552.0
202,150,100,62,-71472.0,-6688.0,-62672,0,-8800.0
202,150,101,62,-71400.0,-7184.0,-62352,0,-9048.0
202,150,102,62,-71328.0,-7680.0,-62032,0,-9296.0
202,150,102,63,-71970.0,-8320.0,-62266,0,-9704.0
202,150,103,63,-71902.0,-8320.0,-61946,0,-9956.0
202,150,104,63,-71834.0,-8824.0,-61626,0,-10208.0
202,150,105,63,-71766.0,-9328.0,-61306,0,-10460.0
202,150,106,63,-71530.0,-9328.0,-60818,0,-10712.0
202,150,107,63,-71462.0,-9328.0,-60498,0,-10964.0
202,150,108,63,-71394.0,-9328.0,-60178,0,-11216.0
202,150,109,63,-71326.0,-9832.0,-59858,0,-11468.0
202,150,110,63,-71258.0,-9832.0,-59538,0,-11720.0
202,150,111,63,-71190.0,-10336.0,-59218,0,-11972.0
202,150,112,63,-71122.0,-10336.0,-58898,0,-12224.0
202,150,113,63,-71054.0,-10336.0,-58578,0,-12476.0
202,150,114,63,-70986.0,-10336.0,-58258,0,-12728.0
202,150,115,63,-71044.0,-10840.0,-58064,0,-12980.0
202,150,116,63,-70976.0,-11344.0,-57744,0,-13232.0
202,149,116,63,-70656.0,-11344.0,-57424,0,-13232.0
202,149,117,63,-70588.0,-11344.0,-57104,0,-13484.0
202,149,118,63,-70520.0,-11344.0,-56784,0,-13736.0
202,149,118,62,-68924.0,-10656.0,-55660,0,-13264.0
202,149,119,62,-68852.0,-10656.0,-55340,0,-13512.0
202,149,120,62,-68780.0,-10656.0,-55020,0,-13760.0
202,149,121,62,-68708.0,-10656.0,-54700,0,-14008.0
202,149,122,62,-68636.0,-11152.0,-54380,0,-14256.0
202,149,123,62,-68564.0,-11648.0,-54060,0,-14504.0
